行政区,街区,小区,经度,纬度,1000米内最近地铁站距离,1000米内最近公交车站距离,1000米内购物中心数量,1000米内公司数量,1000米内公园数量,1000米内医院数量
长宁,新华路,延武机电大楼,121.4378676,31.2190352,836,105,4,89,6,15
长宁,中山公园,昭化路55弄,121.4353746,31.21901381,867,152,7,93,6,13
黄浦,老西门,兴林公寓,121.4946849,31.21894487,256,77,1,103,0,12
徐汇,衡山路,常熟路228弄,121.4514565,31.21894464,506,225,1,105,3,15
黄浦,新天地,建德坊,121.4832463,31.21893074,362,145,8,83,8,18
浦东,塘桥,南泉小区,121.528685,31.218927,503,78,5,93,1,4
闵行,华漕,中骏广场,121.3192942,31.21890073,1001,136,2,89,0,2
黄浦,董家渡,阳光翠竹苑,121.5049417,31.2188909,418,227,1,102,0,2
黄浦,老西门,沙家街小区,121.4938012,31.21888009,196,24,2,111,0,12
长宁,中山公园,武定大厦,121.428359,31.21885284,580,133,9,99,7,11
长宁,天山,天山路475弄,121.3993118,31.21873472,570,94,5,95,4,2
黄浦,董家渡,长峰馨园,121.5062617,31.21859752,469,184,1,104,0,12
长宁,新华路,长峰中心聚贤阁,121.4381069,31.21858934,886,150,3,89,5,15
长宁,中山公园,友联大楼,121.4204778,31.21857282,440,293,12,89,6,13
徐汇,衡山路,五原路249号,121.4507163,31.21849005,451,250,1,100,3,15
长宁,中山公园,虹康昭晖苑,121.432588,31.21848187,914,140,8,106,8,13
徐汇,衡山路,乌中小区,121.4533973,31.21847183,346,124,1,99,2,17
长宁,中山公园,天山四村,121.4090795,31.2184604,200,141,11,91,2,8
长宁,中山公园,天诚花苑,121.4291167,31.21845291,614,48,9,99,7,13
浦东,塘桥,国信世纪海景,121.519935,31.218439,437,117,5,91,0,2
徐汇,衡山路,五原路210弄,121.449852,31.21833981,443,196,1,93,3,15
徐汇,衡山路,上音小区,121.4604484,31.21826268,397,217,7,96,5,19
徐汇,衡山路,音苑小区,121.4598613,31.2182565,348,256,7,98,5,19
长宁,中山公园,武夷花园,121.422169,31.21819667,316,248,11,92,6,10
黄浦,老西门,新世纪大厦,121.495716,31.218158,299,78,1,97,0,12
长宁,仙霞,天台家园,121.3891706,31.21810263,503,273,4,97,4,5
闵行,华漕,爱博三村,121.3168348,31.21799686,1001,201,2,85,0,2
徐汇,衡山路,武康路97号,121.4475675,31.21787935,489,112,1,90,4,18
长宁,天山,怡乐公寓,121.3975433,31.21785241,470,237,2,80,4,2
闵行,华漕,西郊九韵城,121.3019452,31.21783758,1001,194,2,65,1,0
长宁,中山公园,虹桥向日葵公寓,121.4203759,31.21779759,388,214,10,86,5,13
长宁,中山公园,天义小区,121.4139247,31.2177444,347,77,13,88,2,10
长宁,中山公园,绿地海怡公寓,121.4353043,31.21771197,1001,87,5,100,6,12
闵行,华漕,西郊河畔家园,121.297015,31.217628,1001,151,2,69,1,4
长宁,镇宁路,华山路1100弄,121.4419497,31.217617,909,64,2,103,4,17
长宁,天山,安龙大楼,121.3997849,31.21759083,658,183,8,88,4,3
长宁,仙霞,安龙小区,121.392852,31.21755385,334,146,2,90,3,4
长宁,天山,天华公寓,121.401578,31.21753532,494,72,9,104,4,3
浦东,塘桥,塘桥小区,121.5280237,31.21744785,341,121,5,95,1,4
浦东,花木,四季全景台,121.560309,31.217444,344,264,5,80,9,1
长宁,仙霞,珍宝公寓,121.3951866,31.2174385,367,308,2,84,3,11
浦东,唐镇,恒生万鹂商业广场,121.658005,31.217307,564,132,4,68,2,0
黄浦,蓬莱公园,徽宁路4-10号,121.502149,31.217238,511,144,1,84,0,1
浦东,杨东,香梅花园,121.546103,31.217129,987,157,1,101,0,4
闵行,华漕,虹桥晶邸,121.299838,31.21708474,1001,39,2,64,1,1
徐汇,建国西路,新汾阳公寓,121.4607576,31.21705062,494,119,6,98,5,16
徐汇,衡山路,兴盛公寓,121.4457444,31.21696685,553,70,0,91,6,15
长宁,北新泾,虹园六村,121.3728038,31.21695032,940,165,4,91,4,7
黄浦,蓬莱公园,普育东路24-36号,121.5025493,31.21690531,458,192,1,83,1,1
浦东,塘桥,文兰小区,121.532634,31.216863,185,121,5,103,1,4
长宁,北新泾,甘溪路205号,121.3677383,31.21685351,806,111,2,84,2,10
徐汇,建国西路,玉门公寓,121.4572482,31.21684656,334,139,4,87,4,16
浦东,塘桥,蓝高小区,121.538283,31.216844,381,154,1,110,1,4
浦东,花木,银亿公园壹号,121.5577766,31.21682247,137,165,2,78,9,1
黄浦,蓬莱公园,天柱山路17弄,121.500177,31.21680695,634,239,1,89,1,4
黄浦,蓬莱公园,恒升大厦,121.489009,31.21677885,356,126,3,106,1,12
长宁,仙霞,茅台花苑,121.3989971,31.2166916,658,99,5,85,4,3
长宁,仙霞,光华大厦,121.3897186,31.21661061,571,223,3,90,3,6
长宁,中山公园,天山商厦,121.409171,31.21658483,124,68,12,99,2,5
徐汇,建国西路,太原路18弄,121.4563359,31.2165778,361,76,3,90,4,16
长宁,仙霞,杜家宅小区,121.4008329,31.21654939,601,112,8,90,4,2
长宁,中山公园,虹桥天都国际,121.4131969,31.21650082,275,126,12,94,2,10
黄浦,蓬莱公园,海潮公寓,121.503072,31.21646183,388,232,1,88,1,2
黄浦,新天地,淡水湾花园,121.4818961,31.21642555,163,172,7,87,7,15
浦东,张江,展想悦廷,121.633162,31.216384,511,79,1,109,1,0
浦东,塘桥,新塘桥生活广场,121.524896,31.21634,109,151,4,98,1,5
黄浦,蓬莱公园,陆家浜路1382弄,121.4901364,31.21632271,270,136,3,108,1,12
黄浦,打浦桥,建国大厦,121.4781459,31.21630989,501,164,7,99,7,9
黄浦,蓬莱公园,中福花苑,121.5054383,31.21630248,256,83,1,97,0,2
徐汇,建国西路,襄阳南路277弄,121.4650134,31.21628935,644,193,7,92,3,12
黄浦,蓬莱公园,黄浦新苑(公寓),121.492184,31.21625384,135,252,3,108,1,11
长宁,北新泾,华松西区（仙霞西路700弄）,121.364459,31.216203,874,133,1,90,1,5
浦东,花木,建华新苑,121.560114,31.21617323,267,156,5,84,9,1
黄浦,五里桥,制造局后街24-28号,121.488906,31.216023,390,198,3,103,1,12
黄浦,蓬莱公园,海洲丽园,121.4954647,31.21599535,305,157,1,94,0,12
浦东,唐镇,金大元御珑宫廷(别墅),121.5425476,31.21598454,797,384,1,101,0,3
长宁,北新泾,沁秋小区,121.3679359,31.21589583,914,136,2,86,3,12
浦东,塘桥,浦建小区,121.5269425,31.21587344,161,139,5,97,1,5
黄浦,五里桥,新家坡园景苑,121.4878987,31.21583622,431,215,3,98,1,13
长宁,新华路,延安西路1236弄,121.4338311,31.21574187,975,174,3,113,6,13
徐汇,衡山路,桃江路38号,121.4547137,31.21565656,400,101,2,94,3,14
浦东,花木,大唐盛世花园（二期）,121.5662083,31.2155138,366,136,5,107,4,3
黄浦,蓬莱公园,海洲国际华园,121.4997689,31.21536703,612,118,1,87,1,3
黄浦,蓬莱公园,海潮新村,121.5027974,31.21535205,339,108,1,85,1,1
黄浦,蓬莱公园,中福浦江汇,121.504837,31.215278,177,192,1,95,1,2
浦东,塘桥,微山新村,121.521888,31.215231,194,80,4,90,1,5
长宁,中山公园,联业大楼,121.4182117,31.21519987,511,24,13,91,2,12
徐汇,建国西路,嘉善路169弄,121.4667522,31.2151825,738,102,9,87,3,18
黄浦,新天地,瑞金新苑,121.4809365,31.21517385,237,250,7,94,4,12
虹口,江湾镇,场中路10弄,121.4639216,31.21515339,785,56,7,90,3,15
黄浦,蓬莱公园,绿地海珀黄浦,121.498056,31.215117,569,110,1,90,1,11
徐汇,衡山路,淮海中路1590弄,121.450811,31.21510884,76,268,2,90,4,13
长宁,仙霞,茅台新苑,121.4004043,31.21508336,719,199,9,78,3,2
闵行,华漕,诸新三村,121.2968043,31.21500322,849,96,2,69,1,2
长宁,仙霞,威宁小区,121.391483,31.21486687,658,58,2,90,3,4
浦东,花木,大唐盛世花园（一期）,121.562945,31.21478,538,142,5,95,6,1
黄浦,打浦桥,思南新苑,121.4769698,31.21477468,335,243,6,104,7,9
黄浦,蓬莱公园,仁宝公寓,121.5040407,31.21473191,203,169,0,93,1,14
徐汇,衡山路,上海新邨,121.453146,31.21470489,229,112,2,84,4,14
徐汇,建国西路,陕西南路550弄,121.467981,31.21451186,662,188,7,90,2,14
浦东,张江,阳光花城,121.629665,31.214497,287,227,1,105,1,0
黄浦,淮海中路,瑞雪大楼,121.4703602,31.21449295,549,155,6,84,4,12
浦东,塘桥,微山二村,121.5198969,31.21441867,404,8,5,97,1,5
黄浦,五里桥,永业公寓,121.4848599,31.21439536,200,130,7,65,1,16
长宁,仙霞,水霞小区,121.395836,31.21438486,708,189,3,79,3,3
黄浦,蓬莱公园,东物公寓,121.5016219,31.21437528,419,64,1,85,1,1
浦东,塘桥,浦建727,121.537241,31.214248,462,62,3,102,1,6
黄浦,淮海中路,陕西南路271弄,121.469345,31.21423986,624,129,6,86,2,15
长宁,仙霞,西郊紫薇花园,121.3894121,31.21423082,804,139,2,94,3,6
闵行,华漕,馨昌佳苑,121.2997021,31.21412281,1001,162,2,65,1,1
长宁,仙霞,茅台雅苑,121.3960221,31.21410767,743,192,3,80,3,3
浦东,花木,樱花坊,121.5588446,31.21410026,220,153,5,75,5,1
黄浦,蓬莱公园,锦凯华苑,121.4941137,31.21408335,391,21,1,90,2,12
黄浦,五里桥,汇龙新城,121.4817513,31.21405957,235,211,6,94,1,14
徐汇,衡山路,兴国路157号,121.4432412,31.2139721,606,357,2,91,5,12
浦东,张江,胡姬花园,121.59331,31.213937,689,150,1,111,3,0
黄浦,打浦桥,泰康路21号,121.47722,31.21393094,269,288,6,108,5,10
黄浦,打浦桥,建国西路25弄,121.4723274,31.21390855,356,210,3,68,5,9
长宁,新华路,迎龙大厦(公寓),121.4272726,31.21387782,401,186,2,94,3,9
长宁,新华路,云阳花苑,121.4319924,31.21387273,823,149,2,84,5,14
黄浦,淮海中路,建国西路146号,121.4706484,31.21380332,491,103,3,75,3,11
长宁,中山公园,天山二村,121.4133332,31.21371128,464,223,12,101,2,5
浦东,花木,金桂小区,121.556046,31.213688,250,60,2,80,5,1
黄浦,蓬莱公园,东元坊,121.502164,31.21367623,369,90,1,81,1,1
长宁,北新泾,仙霞里,121.3727317,31.21366233,1001,117,2,96,2,7
徐汇,建国西路,襄阳南路388弄,121.4643599,31.21360836,634,112,5,91,2,13
长宁,仙霞,芙蓉小区,121.4026838,31.213594,691,111,10,81,5,3
闵行,华漕,九方家园,121.2953774,31.2134473,638,155,3,68,1,2
长宁,新华路,法华镇路878弄,121.42573,31.21341989,319,159,1,111,3,8
黄浦,淮海中路,建国西路158弄,121.4694375,31.21341395,569,49,3,86,2,10
徐汇,建国西路,岳阳路79弄,121.4587469,31.21336646,576,168,2,84,2,13
徐汇,衡山路,中南新村,121.44879,31.21333419,222,58,2,96,6,10
长宁,新华路,西镇小区(长宁),121.428412,31.213316,526,206,2,81,4,9
长宁,新华路,番禺路222弄11支弄,121.4347164,31.21328755,808,137,2,108,5,14
浦东,塘桥,龙阳小区,121.526973,31.21326,286,76,5,94,1,4
徐汇,衡山路,武康路280弄(公房),121.4450805,31.21322447,555,324,2,90,5,10
黄浦,五里桥,局门路165号,121.4871135,31.21317043,451,120,7,75,1,16
闵行,华漕,紫堤坊,121.3028418,31.21312491,1001,177,2,66,1,0
长宁,虹桥,中紫小区,121.4171578,31.21309314,671,276,12,106,2,4
浦东,塘桥,微山三村,121.5176692,31.21303469,664,103,5,98,1,1
长宁,新华路,杨宅路2号,121.426514,31.213014,402,219,1,103,3,9
长宁,仙霞,仙逸小区,121.3982038,31.21299338,883,107,3,74,4,3
黄浦,五里桥,蒙西小区,121.4820923,31.21296103,324,153,9,90,1,15
黄浦,五里桥,丽园路642号,121.4867968,31.21293486,445,106,7,76,1,19
黄浦,五里桥,丽园路574弄,121.487858,31.21288622,527,99,7,75,1,14
黄浦,打浦桥,双钱公寓,121.4761598,31.21286475,113,256,6,88,3,9
浦东,花木,牡丹小区(浦东),121.552339,31.212829,571,10,1,79,4,4
黄浦,五里桥,丽园路710弄,121.4855036,31.2128229,375,171,8,77,1,16
黄浦,蓬莱公园,黄浦华庭,121.497147,31.21280484,579,176,1,91,1,7
长宁,北新泾,金虹苑小区,121.3744976,31.21278685,1001,171,2,100,3,20
长宁,新华路,杨宅小区,121.4275904,31.212742,498,213,2,94,3,8
黄浦,蓬莱公园,瞿溪路115-131号,121.5016018,31.21270523,446,207,1,72,1,1
长宁,新华路,新华世纪园,121.4250747,31.21265721,359,250,1,110,3,5
长宁,新华路,法华镇路635弄,121.428869,31.2126569,601,196,2,87,4,6
闵行,华漕,紫堤苑,121.3043191,31.21262656,1001,103,2,70,0,0
徐汇,衡山路,永福第六小区,121.4442002,31.21261544,500,259,4,86,5,10
长宁,虹桥,娄山关路440弄,121.4101743,31.21259745,493,36,12,98,2,8
长宁,仙霞,新乐小区,121.388959,31.2125012,994,59,1,93,2,5
浦东,唐镇,保利御樽苑(公寓),121.657633,31.212469,1001,317,3,70,3,0
长宁,仙霞,威宁大楼,121.390908,31.21241685,934,198,2,89,3,4
徐汇,建国西路,襄阳南路452弄,121.464185,31.21241484,531,200,2,106,2,12
闵行,华漕,尚品华庭,121.324562,31.21241183,1001,198,3,91,0,11
长宁,虹桥,紫云大厦,121.4167114,31.21240396,744,310,12,102,3,3
长宁,新华路,番禺大厦,121.4338789,31.21233678,808,177,2,90,5,14
徐汇,建国西路,嘉御庭,121.465915,31.21228853,440,217,5,107,2,11
闵行,华漕,金丰小区北区（121弄）,121.2897304,31.21221576,208,152,3,64,1,4
黄浦,五里桥,开城新苑,121.4833051,31.21219472,386,94,9,77,1,15
长宁,新华路,番禺路222弄,121.433932,31.21219286,795,174,2,90,5,12
徐汇,衡山路,泰安路27弄,121.4442965,31.2121538,462,207,4,85,5,10
浦东,杨东,锦绣满堂北区,121.547277,31.212121,1001,102,1,82,0,4
长宁,北新泾,可乐公馆,121.366807,31.21207844,1001,236,1,88,1,6
长宁,新华路,知音小区,121.4259761,31.21201134,461,257,1,110,3,7
黄浦,打浦桥,日月光中心伯爵居,121.4752169,31.21201126,18,129,7,83,2,9
长宁,新华路,申亚新华府,121.4270999,31.2120057,523,169,2,115,3,8
黄浦,五里桥,丽丽小区,121.488528,31.21200385,637,112,8,74,1,15
长宁,虹桥,仙霞路133弄,121.4111654,31.2118675,579,58,13,105,2,9
长宁,西郊,西郊豪庭,121.3667906,31.21184974,1001,211,1,88,1,12
黄浦,蓬莱公园,瞿二小区,121.4955906,31.21181661,462,209,1,89,3,8
徐汇,建国西路,合群坊,121.4637551,31.21178758,504,152,2,111,2,13
长宁,新华路,化工小区(长宁),121.4295222,31.21166273,716,135,2,94,5,9
浦东,塘桥,东南华庭,121.52355,31.211609,456,162,4,98,1,4
闵行,华漕,爱博二村,121.3130358,31.2115822,1001,224,3,95,0,2
徐汇,徐家汇,创世纪花园,121.3847395,31.2115683,1001,93,1,103,0,6
长宁,虹桥,联建新村(长宁),121.4149965,31.21149935,756,204,12,113,2,5
长宁,新华路,海富公寓,121.4334185,31.2114931,801,244,2,87,5,6
长宁,新华路,又一村(长宁),121.436582,31.211491,543,130,1,96,5,14
徐汇,衡山路,兴国路271弄,121.4441251,31.21138786,383,123,4,89,6,38
浦东,塘桥,贵龙园,121.533071,31.211385,393,183,4,95,0,5
长宁,仙霞,银鑫公寓,121.3946505,31.21129451,783,103,3,82,3,3
黄浦,五里桥,北蒙三小区,121.483375,31.21126911,489,191,9,81,1,16
长宁,新华路,敬老邨,121.4261762,31.21123513,546,211,2,109,3,8
长宁,虹桥,太阳广场,121.41029,31.211159,653,123,13,111,2,6
黄浦,五里桥,丽园新村,121.4900738,31.2111448,688,116,9,78,1,14
长宁,中山公园,新风小区,121.4266683,31.21114356,578,163,3,109,3,8
长宁,镇宁路,泰安路125弄,121.440745,31.211062,272,61,4,89,5,12
长宁,新华路,法华镇路588弄,121.4281323,31.21101215,671,24,4,93,3,8
黄浦,蓬莱公园,西凌新邨,121.4930752,31.21097169,463,209,2,82,3,9
徐汇,衡山路,永嘉大楼,121.455742,31.21095285,248,204,2,96,3,12
浦东,杨东,锦绣苑,121.5489776,31.21090451,956,242,1,80,0,4
长宁,北新泾,绿园十一村,121.3649633,31.21088814,1001,182,1,89,1,4
浦东,杨东,上海绿城,121.540473,31.210884,946,212,1,87,0,3
黄浦,打浦桥,大同花园南区,121.4795939,31.21086375,420,146,9,89,1,13
长宁,新华路,百花村,121.4304634,31.21085518,842,159,4,90,6,11
闵行,华漕,爱博一村,121.3175605,31.21083093,1001,162,5,92,0,3
长宁,仙霞,虹仙小区,121.3913189,31.21072708,927,212,1,88,2,3
徐汇,衡山路,衡山路58弄,121.452167,31.21064114,122,181,2,95,4,10
浦东,杨东,锦绣天第花园,121.543646,31.21064083,1001,152,1,84,0,4
徐汇,建国西路,新家坡美树馆,121.467632,31.210624,228,146,5,107,2,11
长宁,仙霞,虹古大楼,121.3946949,31.21060663,714,112,1,87,4,3
长宁,仙霞,虹城公寓,121.399156,31.21060454,621,142,2,77,4,3
长宁,新华路,香花桥小区,121.4320193,31.21039754,880,69,4,89,6,9
徐汇,衡山路,乌鲁木齐南路149号,121.4556697,31.2103306,263,234,1,93,2,6
徐汇,衡山路,康平大楼,121.4500001,31.21031469,321,199,5,97,5,9
闵行,华漕,紫薇二村,121.3040713,31.21028272,1001,148,3,69,0,0
长宁,新华路,法华镇路363弄,121.4346915,31.21027956,639,258,1,95,6,9
徐汇,衡山路,懿园,121.4565497,31.2102767,342,202,1,94,2,12
徐汇,衡山路,康平路67号,121.4500826,31.21025732,317,189,5,95,4,9
长宁,仙霞,虹霞小区,121.39618,31.21024211,616,164,2,77,4,3
黄浦,五里桥,桃源兴城苑,121.4836816,31.21019764,609,90,11,78,1,14
长宁,新华路,法华镇路315弄,121.4349487,31.21016829,612,261,1,94,6,9
黄浦,打浦桥,南塘浜路93弄,121.4804805,31.21011996,529,81,9,84,1,12
长宁,仙霞,虹景小区,121.3994729,31.20997604,556,71,2,79,5,3
长宁,虹桥,锦明大厦,121.4132888,31.20983126,611,116,13,111,1,7
长宁,镇宁路,华山花苑,121.4419314,31.20975706,121,150,8,89,6,10
黄浦,世博滨江,市民新村,121.4996005,31.20973683,406,99,0,83,2,2
徐汇,建国西路,襄阳南路389弄,121.464514,31.213456,613,129,6,95,2,6
徐汇,建国西路,立地公寓,121.467647,31.216528,645,73,9,93,5,18
黄浦,五里桥,五里桥路269弄,121.485939,31.2095841,669,56,8,85,1,14
徐汇,衡山路,华强公寓,121.45237,31.20950697,217,90,4,105,2,9
浦东,花木,盛第大厦,121.5562754,31.20946404,694,35,2,80,1,1
徐汇,斜土路,瑞嘉公寓,121.4715938,31.20946319,401,287,4,95,2,6
浦东,塘桥,中远行家,121.535568,31.209452,526,403,3,90,0,7
长宁,虹桥,金桥大厦,121.4140655,31.20943917,610,200,12,105,1,6
黄浦,打浦桥,海丽花园,121.4762632,31.20930127,318,235,8,97,2,9
浦东,花木,新领地,121.556833,31.209163,659,56,2,78,1,1
黄浦,蓬莱公园,瞿溪路463弄,121.494563,31.20911287,214,105,2,88,3,8
长宁,新华路,文苑小区(长宁),121.4287819,31.20907442,651,207,3,103,5,8
长宁,新华路,邮局小区,121.4345378,31.20897782,623,204,3,96,6,9
长宁,新华路,文缘村,121.4307558,31.20897751,687,130,3,97,7,7
黄浦,世博滨江,弘辉名苑,121.4963738,31.20889505,138,78,2,84,2,6
闵行,华漕,万科时一区（四期）,121.3165184,31.20889289,1001,117,4,93,0,2
长宁,新华路,新华路261弄,121.4337459,31.2088854,697,225,3,97,7,10
闵行,华漕,万科时一区(二期）,121.318715,31.208871,1001,117,4,91,0,3
浦东,花木,梅花新村(花木),121.5539234,31.20886694,820,222,2,78,1,2
徐汇,衡山路,长鑫公馆,121.451214,31.20878108,339,30,9,99,3,5
黄浦,五里桥,桥一小区,121.487565,31.208687,622,112,7,93,2,12
浦东,张江,建中路171弄,121.620655,31.208514,335,218,1,79,5,0
黄浦,五里桥,汝南街小区,121.4909633,31.20845655,492,155,6,96,3,10
黄浦,蓬莱公园,明珠家园(黄浦),121.4940482,31.20841801,208,173,3,100,3,7
长宁,新华路,红庄小区,121.439753,31.20838096,125,242,9,98,6,10
闵行,华漕,紫薇新村,121.30419,31.20826514,1001,366,2,70,0,0
徐汇,衡山路,高安路9弄,121.450808,31.20825271,410,40,9,95,4,5
徐汇,建国西路,伊泰利大厦,121.4615786,31.20821742,544,122,2,113,1,8
徐汇,斜土路,汇峰鼎园,121.473226,31.208135,484,88,4,98,1,6
徐汇,斜土路,卫星大楼,121.4649526,31.20806871,248,268,2,104,2,6
徐汇,徐家汇,天平路130弄,121.4438621,31.20806099,229,94,14,80,6,9
长宁,新华路,鸿发苑,121.4388741,31.20804245,213,156,7,97,7,10
浦东,张江,张江汤臣豪园(二期),121.604081,31.207961,478,177,2,86,0,0
黄浦,五里桥,蒙自路440弄,121.4854366,31.20795312,507,166,7,81,1,13
黄浦,世博滨江,唐家宅小区,121.4952508,31.20777105,78,56,2,96,2,6
黄浦,打浦桥,明德坊,121.480025,31.20776888,332,165,11,91,1,10
黄浦,打浦桥,海悦花园,121.4809612,31.20762542,293,255,11,94,1,12
闵行,华漕,美邻苑,121.2894557,31.20757886,308,151,1,20,1,1
浦东,塘桥,欣晟家园,121.53403,31.207559,408,447,1,86,0,5
徐汇,斜土路,嘉瑞花苑,121.4693161,31.20754149,207,234,4,93,2,4
徐汇,衡山路,吴兴大楼,121.4508024,31.20748466,484,90,13,97,4,6
浦东,花木,杏花新苑,121.554622,31.20738688,882,248,2,82,1,1
长宁,新华路,纺大小区,121.4223111,31.20736057,651,79,4,87,2,6
徐汇,衡山路,乌鲁木齐南路183弄,121.4565302,31.20732158,226,23,1,107,3,7
浦东,北蔡,万邦都市花园,121.559498,31.207294,437,330,2,80,2,1
黄浦,打浦桥,打浦路210弄,121.4774588,31.20725595,447,20,9,97,1,9
长宁,虹桥,虹日小区,121.397445,31.2072029,258,101,2,77,3,3
长宁,虹桥,伊犁小区,121.41472,31.20719888,477,46,8,110,2,6
徐汇,斜土路,福华花苑,121.4721983,31.20712646,474,115,5,106,1,6
长宁,新华路,浦江大厦,121.428874,31.20695797,419,127,3,94,3,8
黄浦,五里桥,卢湾都市花园,121.4834999,31.20687697,290,179,7,84,2,13
徐汇,衡山路,高欣公寓,121.4570247,31.20683976,169,60,2,107,3,7
长宁,虹桥,西郊华庭,121.3934868,31.20682153,512,285,2,78,3,2
黄浦,世博滨江,黄浦滩名苑,121.4997798,31.20678262,366,248,0,84,2,2
黄浦,世博滨江,瞿四小区,121.4928419,31.20676849,322,239,5,107,3,9
徐汇,斜土路,金巢铂瑞阁,121.47114,31.206757,400,214,5,106,1,5
徐汇,衡山路,高安路78弄,121.45278,31.20673328,428,53,12,107,3,10
浦东,唐镇,玉兰香苑(四期),121.644885,31.206714,494,234,1,46,0,0
浦东,南码头,东三街30号,121.5143618,31.20670301,537,98,1,87,1,2
长宁,新华路,安东小区,121.4248636,31.20663614,481,219,2,90,2,7
长宁,新华路,新华名门,121.432332,31.20652364,548,210,3,92,6,7
长宁,新华路,淮海花园,121.4354038,31.20649684,580,103,8,94,5,10
闵行,华漕,涞港星苑,121.3072481,31.20641885,1001,108,1,96,0,1
长宁,新华路,中银淮海苑,121.4333382,31.20639577,614,252,3,95,6,7
浦东,张江,春港丽园(公寓),121.629093,31.206376,856,237,1,89,3,0
闵行,华漕,西郊庄园马德里洋房,121.296842,31.20633,810,280,2,37,0,0
长宁,新华路,新华公寓,121.4295155,31.20631106,368,105,3,90,3,8
徐汇,衡山路,建国西路695弄,121.450201,31.20630596,626,69,16,103,4,8
浦东,南码头,光鸿苑,121.521813,31.206273,743,176,3,88,1,6
黄浦,打浦桥,瑞南新苑,121.475281,31.20621107,593,196,9,104,0,7
长宁,虹桥,安顺小区,121.4185774,31.20617804,406,117,6,94,2,4
青浦,赵巷,崧雅路77弄,121.4192476,31.20615524,411,54,7,95,2,4
徐汇,徐家汇,枫林大楼,121.4596387,31.20612443,269,100,2,110,1,7
浦东,杨东,爱家亚洲花园一期,121.5433855,31.20612412,1001,39,2,86,0,3
徐汇,衡山路,百安小区,121.4531967,31.20607517,368,112,12,101,3,9
徐汇,斜土路,汇成桂苑,121.4654268,31.20602243,345,254,2,87,0,4
浦东,张江,张江汤臣豪园(四期),121.5943631,31.20602088,196,128,1,97,3,0
浦东,张江,张江汤臣豪园(一期)(公寓),121.594514,31.20599,202,114,1,95,3,0
徐汇,徐家汇,天平路222弄,121.4440957,31.20594243,390,54,17,78,5,7
徐汇,斜土路,瑞金南苑,121.4737332,31.20586576,664,121,7,104,0,6
黄浦,打浦桥,五岭小区,121.4799635,31.20579781,159,213,10,104,2,8
徐汇,斜土路,大木小区,121.469376,31.20572484,363,234,3,92,0,3
浦东,张江,玉兰香苑一期A块,121.6398718,31.20570993,442,147,1,94,2,0
徐汇,衡山路,公安大楼(徐汇),121.45135,31.2056399,535,124,16,102,3,9
长宁,新华路,虹桥府邸,121.4216046,31.20561836,457,115,3,75,1,6
黄浦,世博滨江,中山南一路256弄,121.4937862,31.20560986,316,217,5,107,3,7
长宁,虹桥,爱建小区,121.4160604,31.20560842,411,257,6,93,2,6
徐汇,斜土路,斜土路1218号,121.4717948,31.20552462,530,213,4,102,0,5
徐汇,徐家汇,天平路139号,121.44474,31.20545087,471,31,17,67,5,5
浦东,杨东,爱家亚洲花园二期,121.5427591,31.20544763,1001,101,1,69,0,3
黄浦,打浦桥,斜土新村,121.4770383,31.20542763,413,221,10,110,1,7
黄浦,打浦桥,打浦路339弄,121.4785523,31.20529675,269,229,10,108,1,8
浦东,南码头,西三里桥路9弄,121.513274,31.205187,425,188,1,82,1,2
浦东,张江,张江汤臣豪园(三期),121.604165,31.205163,675,179,3,80,0,0
长宁,新华路,中华小区,121.4235475,31.2051396,474,230,2,85,2,5
长宁,虹桥,中华别墅,121.4149026,31.20509197,420,195,6,100,2,5
黄浦,世博滨江,制造局路779-781号,121.492355,31.205043,446,331,5,112,3,7
黄浦,世博滨江,耀江花园,121.4991714,31.20502139,417,140,0,87,2,2
长宁,虹桥,虹桥小区,121.416997,31.20487445,295,254,6,87,2,7
浦东,南码头,临沂一村,121.5194044,31.20482333,464,161,1,88,1,3
长宁,虹桥,虹储小区,121.4184943,31.20480789,254,198,5,79,1,5
浦东,南码头,胶南小区,121.5167148,31.20473098,314,113,1,89,1,3
徐汇,徐家汇,乐山一村,121.4362458,31.20467021,622,85,10,92,5,11
长宁,虹桥,锦苑公寓,121.396884,31.20466589,156,140,2,84,3,3
黄浦,打浦桥,瞿溪路1032弄,121.482087,31.20466411,78,47,8,93,2,7
黄浦,五里桥,华丽家族汇景天地(商业类),121.4843749,31.20456095,290,146,8,84,3,10
黄浦,世博滨江,南康公寓,121.4930581,31.20454396,450,259,5,113,3,7
徐汇,斜土路,小木桥路227弄,121.4645643,31.20439246,541,58,2,92,0,8
长宁,虹桥,虹一小区,121.4197151,31.20430884,232,153,5,78,1,6
徐汇,斜土路,远雄徐汇园,121.470439,31.20421254,480,142,1,97,0,4
浦东,川沙,新德路506弄,121.7000872,31.20409394,1001,127,5,96,1,5
黄浦,世博滨江,融创滨江壹号院,121.4916498,31.20408212,342,275,5,117,3,8
长宁,西郊,西郊宝成花苑,121.368643,31.20405888,1001,73,0,57,3,2
浦东,川沙,北城小区,121.707646,31.204042,1001,219,5,99,3,5
徐汇,斜土路,银亿徐汇酩悦,121.4663588,31.20399356,520,51,1,91,0,6
徐汇,斜土路,斜土路1358弄,121.4689989,31.20398537,467,51,1,96,0,4
长宁,新华路,长顺路20号,121.4250053,31.2039439,296,208,2,76,3,9
